Abies webbiana leaf 
Abroma augusta root 
Abrus precatorius seed 
Abutilon indicum seed 
Acacia arabica bark 
Acacia catechu gum 
Acacia concinna pods 
Achillea millefolium seeds 
Achyranthes aspera plant 
Aconitum heterophyllum plant 
Aconitum spp. root 
Acorus calamus rhizome 
Adhatoda vasica leaf 
Aegle marmelos leaf 
Aegle marmelos unripe fruit 
Albizzia lebbeck bark 
Allium cepa bulbs 
Allium sativum bulbs 
Aloe vera leaf 
Alpinia galanga rhizome 
Alstonia scholaris bark 
Anacyclus pyrethrum flowers 
Andrographis paniculata plant 
Anethum sowa seed 
Aphanamixis rohituka bark 
Apium graveolens seed 
Argyreia speciosa root 
Asparagus adscendens root 
Asparagus racemosus root 
Asphaltum 
Asteracantha longifolia herb 
Atropa belladonna leaf 
Atropa belladonna root 
Azadirachta indica bark 
Azadirachta indica leaf 
Bacopa monnieri herb 
Barleria prionitis herb 
Bauhinia variegata bark 
Berberis aristata root 
Bergenia ligulata root 
Boerhaavia diffusa root 
Boswellia serrata gum 
Butea frondosa flowers 
Caesalpinia bonducella nut 
Calotropis gigantea root 
Camellia sinensis 
Capparis spinosa root 
Capsicum spp. fruit 
Cassia angustifolia leaf 
Cassia angustifolia pods 
Cassia fistula fruit 
Cassia occidentalis fruit 
Cedrus deodara wood 
Celastrus paniculatus seed 
Centella asiatica 
Cephaelis ipecacuanha root 
Cephalandra indica leaf 
Cicer arietinum seeds 
Cichorium intybus seeds 
Cinchona ledgeriana bark 
Cissus quadrangularis stem 
Citrullus colocynthis fruit 
Citrullus colocynthis root 
Citrus aurantium peel 
Citrus medica peel 
Colchicum luteum corms 
Coleus forskohlii root 
Commiphora mukul gum 
Commiphora myrrha gum 
Coriandrum sativum seeds 
Crataeva nurvala bark 
Cucumis sativus seeds 
Cuminum cyminum fruit 
Curcuma amada rhizome 
Curcuma longa rhizome 
Curculigo orchioides root 
Cynodon dactylon herb 
Cyperus scariosus root 
DGL 
Dashmool 
Datura stramonium leaf 
Daucus carota seed 
Dolichos biflorus seeds 
Eclipta alba plant 
Embelia ribes seed 
Emblica officinalis fruit 
Enicostemma littorale herb 
Ephedra vulgaris herb 
Eugenia jambolana seed 
Euphorbia hirta herb 
Evolvulus alsinoides plant 
Ferula foetida resin 
Ficus racemosa leaf 
Ficus racemosa bark 
Foeniculum vulgare fruit 
Fumaria Officinalis herb 
Garcinia cambogia rind 
Glycyrrhzia glabra root 
Gossypium herbaceum root 
Gymnema slyvestre leaf 
Hemidesmus indicus root 
Holarrhena antidysenterica seed 
Holarrhena antidysenterica bark 
Hydrastis Indian root 
Hyoscyamus niger herb 
Hypericum perforatum herb 
Indigofera tinctoria plant 
Inula racemosa root 
Juglans regia bark 
Lawsonia alba leaf 
Leptadenia reticulata herb 
Lobelia nicotianaefolia leaf 
Mangifera indica bark 
Matricaria chamomilla flower 
Mentha spicata 
Mesua ferrea fruit & flower bud 
Mimusops elegni bark 
Momordica charantia fruit 
Morinda citrifolia fruit 
Moringa oleifera bark 
Moringa oleifera leaf 
Mucuna pruriens seeds 
Myrica nagi bark 
Myristica fragrans fruit 
Nardostachys jatamansi root 
Nelumbo nucifera seed 
Nigella sativa seed 
Nyctanthes arbortristis leaf 
Ocimum basilicumleaf 
Ocimum sanctum herb
Oldenlandia corymbosa plant 
Onosma echioides root 
Operculina turpethum root 
Opuntia dillenii herb 
Orchis mascula tubers 
Phyllanthus niruri herb 
Picrorhiza kurrooa root 
Piper cubeba fruit 
Piper longum fruit 
Piper nigrum fruit 
Pistacia integerrima galls 
Plumbago indica root 
Podophyllum emodi rhizome 
Polygala chinensis root 
Pongamia glabra seed 
Prunus serotina bark 
Psoralea corylifolia seed 
Pterocarpus marsupium wood 
Pterocarpus santalinus bark 
Pueraria tuberosa root 
Punica granatum rind 
Putranjiva roxburghii berries 
Pyrus malus fruit 
Quercus infectoria galls 
Randia dumetorum fruit 
Rauwolfia serpentina root 
Rheum emodi root 
Ricinus communis leaf 
Ricinus communis root 
Rubia Cordifolia root 
Salacia reticulata root 
Santalum album wood 
Sapindus trifoliatus fruit cortex 
Saraca indica bark 
Saussurea lappa root 
Semecarpus anacardium kernal 
Sida cordifolia root 
Silybum marianum seeds 
Solanum nigrum berries 
Solanum xanthocarpum plant 
Spinacia oleracea leaves 
Strychnos nux vomica seeds 
Swertia chirata plant 
Symplocos racemosa bark 
Taraxacum officinale herb 
Tecomella undulata bark 
Tephrosia purpurea plant 
Terminalia arjuna bark 
Terminalia belerica fruit 
Terminalia chebula fruit 
Tinospora cordifolia root 
Trachyspermum ammi fruit 
Tribulus terrestris fruit 
Trichosanthes dioica leaf 
Trigonella foenum-graecum seed 
Trikatu 
Triphala 
Triticum sativum bran 
Triticum sativum germ 
Tylophora indica leaf 
Urginea indica bulbs 
Valeriana wallichii root 
Viburnum spp. bark 
Viola odorata flowers 
Vitex negundo leaf 
Vitis vinifera fruit
Wedelia calendulacea herb 
Withania somnifera root 
Woodfordia floribunda flowers 
Zingiber officinale rhizome 
